country,total_revenue,orders,units_sold,unique_customers,revenue_share_percent,average_order_value
United Kingdom,9001744.094,18019,4646906,3920,84.58607751590554,499.5695706753982
Netherlands,285446.34,94,200361,9,2.6822342414693767,3036.663191489362
EIRE,283140.52,288,147007,3,2.660567299238956,983.1268055555556
Germany,228678.4,457,119154,94,2.1488067941751527,500.39037199124726
France,209625.37,392,112060,87,1.9697724808616826,534.7585969387756
Australia,138453.81,57,83891,9,1.3009995155092728,2429.0142105263158
Spain,61558.56,90,27933,30,0.5784431409684465,683.9839999999999
Switzerland,57067.6,54,30617,21,0.5362432420695175,1056.8074074074075
Belgium,41196.34,98,23237,25,0.38710685087506996,420.3708163265306
Sweden,38367.83,36,36078,8,0.36052838301193835,1065.7730555555556
Japan,37416.369999999995,19,26016,8,0.3515878634334128,1969.282631578947
Norway,36165.44,36,19336,10,0.33983333443969277,1004.5955555555556
Portugal,33683.05,58,16231,19,0.3165072288792531,580.7422413793104
Finland,22546.08,41,10704,12,0.21185721907279625,549.9043902439025
Singapore,21279.29,7,5241,1,0.19995365949395916,3039.8985714285714
Channel Islands,20440.54,26,9485,9,0.19207223431950274,786.1746153846154
Denmark,18955.34,18,8235,9,0.17811635632355324,1053.0744444444445
Italy,17483.24,38,8112,14,0.16428357420812284,460.08526315789476
Hong Kong,15483.0,11,4713,0,0.14548805481503232,1407.5454545454545
Cyprus,13502.85,16,6340,8,0.12688131376084474,843.928125
Austria,10198.68,17,4881,11,0.09583324387269741,599.9223529411765
Israel,8129.41,8,4406,3,0.07638907496569605,1016.17625
Poland,7334.65,19,3684,6,0.06892100763734915,386.03421052631575
Greece,4760.52,5,1557,4,0.04473285504799185,952.104
Unspecified,4740.94,13,3295,4,0.044548868991460266,364.68769230769226
Iceland,4310.0,7,2458,1,0.04049948435398756,615.7142857142857
Canada,3666.38,6,2763,4,0.03445162400133942,611.0633333333334
USA,3580.39,5,2458,4,0.03364360760700081,716.078
Malta,2725.59,5,970,2,0.025611366487328292,545.118
United Arab Emirates,1902.28,3,982,2,0.0178750253125066,634.0933333333334
Lebanon,1693.88,1,386,1,0.015916767182722145,1693.88
Lithuania,1661.06,4,652,1,0.015608369717177396,415.265
European Community,1300.25,4,499,1,0.012217970888926292,325.0625
Brazil,1143.6,1,356,1,0.010745988470352708,1143.6
RSA,1002.3100000000001,1,351,1,0.00941833832084577,1002.3100000000001
Czech Republic,826.74,2,671,1,0.00776857162292707,413.37
Bahrain,754.14,3,314,2,0.007086376132416746,251.38
Saudi Arabia,145.92,1,80,1,0.001371156556133147,145.92
