invoice_no,invoice_date,invoice_month,country,market_group,day_type,invoice_total,total_units,distinct_items,customer_id
536365,2010-12-01 08:26:00,2010-12,United Kingdom,United Kingdom,Weekday,139.12,40,7,17850
536366,2010-12-01 08:28:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536367,2010-12-01 08:34:00,2010-12,United Kingdom,United Kingdom,Weekday,278.73,83,12,13047
536368,2010-12-01 08:34:00,2010-12,United Kingdom,United Kingdom,Weekday,70.05000000000001,15,4,13047
536369,2010-12-01 08:35:00,2010-12,United Kingdom,United Kingdom,Weekday,17.85,3,1,13047
536370,2010-12-01 08:45:00,2010-12,France,International,Weekday,855.86,449,20,12583
536371,2010-12-01 09:00:00,2010-12,United Kingdom,United Kingdom,Weekday,204.0,80,1,13748
536372,2010-12-01 09:01:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536373,2010-12-01 09:02:00,2010-12,United Kingdom,United Kingdom,Weekday,259.86,88,16,17850
536374,2010-12-01 09:09:00,2010-12,United Kingdom,United Kingdom,Weekday,350.4,32,1,15100
536375,2010-12-01 09:32:00,2010-12,United Kingdom,United Kingdom,Weekday,259.86,88,16,17850
536376,2010-12-01 09:32:00,2010-12,United Kingdom,United Kingdom,Weekday,328.8,112,2,15291
536377,2010-12-01 09:34:00,2010-12,United Kingdom,United Kingdom,Weekday,22.200000000000003,12,2,17850
536378,2010-12-01 09:37:00,2010-12,United Kingdom,United Kingdom,Weekday,444.98,454,19,14688
536380,2010-12-01 09:41:00,2010-12,United Kingdom,United Kingdom,Weekday,34.8,24,1,17809
536381,2010-12-01 09:41:00,2010-12,United Kingdom,United Kingdom,Weekday,449.98,198,34,15311
536382,2010-12-01 09:45:00,2010-12,United Kingdom,United Kingdom,Weekday,430.6,134,12,16098
536384,2010-12-01 09:53:00,2010-12,United Kingdom,United Kingdom,Weekday,489.6,190,13,18074
536385,2010-12-01 09:56:00,2010-12,United Kingdom,United Kingdom,Weekday,130.85,53,7,17420
536386,2010-12-01 09:57:00,2010-12,United Kingdom,United Kingdom,Weekday,508.20000000000005,236,3,16029
536387,2010-12-01 09:58:00,2010-12,United Kingdom,United Kingdom,Weekday,3193.92,1440,5,16029
536388,2010-12-01 09:59:00,2010-12,United Kingdom,United Kingdom,Weekday,226.14,108,14,16250
536389,2010-12-01 10:03:00,2010-12,Australia,International,Weekday,358.25,107,14,12431
536390,2010-12-01 10:19:00,2010-12,United Kingdom,United Kingdom,Weekday,1825.74,1568,24,17511
536392,2010-12-01 10:29:00,2010-12,United Kingdom,United Kingdom,Weekday,318.14,103,10,13705
536393,2010-12-01 10:37:00,2010-12,United Kingdom,United Kingdom,Weekday,79.6,8,1,13747
536394,2010-12-01 10:39:00,2010-12,United Kingdom,United Kingdom,Weekday,1024.68,544,11,13408
536395,2010-12-01 10:47:00,2010-12,United Kingdom,United Kingdom,Weekday,507.88,260,14,13767
536396,2010-12-01 10:51:00,2010-12,United Kingdom,United Kingdom,Weekday,376.36,102,18,17850
536397,2010-12-01 10:51:00,2010-12,United Kingdom,United Kingdom,Weekday,279.0,60,2,17924
