invoice_no,invoice_date,invoice_month,country,market_group,day_type,invoice_total,total_units,distinct_items,customer_id,invoice_value_zscore,is_high_value_outlier_iqr,is_high_value_outlier_zscore
581483,2011-12-09 09:15:00,2011-12,United Kingdom,United Kingdom,Weekday,168469.6,80995,1,16446,94.3268232157603,True,True
541431,2011-01-18 10:01:00,2011-01,United Kingdom,United Kingdom,Weekday,77183.6,74215,1,12346,43.05314495147982,True,True
574941,2011-11-07 17:42:00,2011-11,United Kingdom,United Kingdom,Weekday,52940.94,14149,101,,29.436485780190225,True,True
576365,2011-11-14 17:55:00,2011-11,United Kingdom,United Kingdom,Weekday,50653.91,13956,99,,28.151902816748326,True,True
556444,2011-06-10 15:28:00,2011-06,United Kingdom,United Kingdom,Weekday,38970.0,60,1,15098,21.589264052766886,True,True
567423,2011-09-20 11:05:00,2011-09,United Kingdom,United Kingdom,Weekday,31698.159999999996,12572,12,17450,17.504804392475876,True,True
556917,2011-06-15 13:37:00,2011-06,Australia,International,Weekday,22775.93,15049,138,12415,12.493350824350301,True,True
572209,2011-10-21 12:08:00,2011-10,United Kingdom,United Kingdom,Weekday,22206.0,1920,7,18102,12.173231556848588,True,True
567381,2011-09-20 10:12:00,2011-09,United Kingdom,United Kingdom,Weekday,22104.8,6760,12,17450,12.116389365928347,True,True
563614,2011-08-18 08:51:00,2011-08,Australia,International,Weekday,21880.44,12196,97,12415,11.990370453330861,True,True
548203,2011-03-29 16:40:00,2011-03,United Kingdom,United Kingdom,Weekday,21627.72,5964,139,,11.848422246914227,True,True
550461,2011-04-18 13:20:00,2011-04,United Kingdom,United Kingdom,Weekday,21535.9,9014,5,15749,11.796848630606949,True,True
572035,2011-10-20 12:03:00,2011-10,Netherlands,International,Weekday,20277.92,13392,125,14646,11.090264249837722,True,True
563076,2011-08-11 16:12:00,2011-08,Netherlands,International,Weekday,19150.66,14730,119,14646,10.457102904612903,True,True
562439,2011-08-04 18:06:00,2011-08,United Kingdom,United Kingdom,Weekday,18841.48,11848,22,12931,10.283442147807367,True,True
539750,2010-12-21 15:40:00,2010-12,United Kingdom,United Kingdom,Weekday,18745.86,2853,153,,10.229734140931937,True,True
573585,2011-10-31 14:41:00,2011-10,United Kingdom,United Kingdom,Weekday,16874.579999999998,5198,1110,,9.178670356097648,True,True
541220,2011-01-14 14:11:00,2011-01,EIRE,International,Weekday,16774.72,6198,41,14156,9.122580818693544,True,True
545475,2011-03-03 10:59:00,2011-03,Australia,International,Weekday,16726.84,10272,82,12415,9.095687497534836,True,True
562955,2011-08-11 10:14:00,2011-08,United Kingdom,United Kingdom,Weekday,16677.260000000002,2501,353,,9.067839317437747,True,True
556255,2011-06-09 17:27:00,2011-06,United Kingdom,United Kingdom,Weekday,16488.0,3600,12,18102,8.961535433509239,True,True
537659,2010-12-07 16:43:00,2010-12,United Kingdom,United Kingdom,Weekday,15885.49,3689,9,18102,8.62311657529427,True,True
548011,2011-03-29 11:14:00,2011-03,Netherlands,International,Weekday,15719.56,11116,89,14646,8.529916726090754,True,True
569650,2011-10-05 12:44:00,2011-10,Australia,International,Weekday,15643.77,6895,81,12415,8.487346867890704,True,True
540815,2011-01-11 12:55:00,2011-01,United Kingdom,United Kingdom,Weekday,15160.900000000001,7044,3,15749,8.216127611668798,True,True
552883,2011-05-12 10:13:00,2011-05,Netherlands,International,Weekday,14415.74,12266,92,14646,7.797584854888882,True,True
543989,2011-02-15 09:52:00,2011-02,Australia,International,Weekday,14022.92,8384,69,12415,7.576945038314877,True,True
569570,2011-10-05 10:06:00,2011-10,United Kingdom,United Kingdom,Weekday,13760.02,7020,25,16684,7.42927891190251,True,True
537632,2010-12-07 15:08:00,2010-12,United Kingdom,United Kingdom,Weekday,13541.33,1,1,,7.306444734705398,True,True
561901,2011-07-31 15:42:00,2011-07,EIRE,International,Weekend,13464.26,5246,19,14156,7.263155923892918,True,True
558526,2011-06-30 11:01:00,2011-06,United Kingdom,United Kingdom,Weekday,13355.4,4332,8,17949,7.2020112509326655,True,True
566934,2011-09-15 15:34:00,2011-09,United Kingdom,United Kingdom,Weekday,13249.94,2893,8,18102,7.142776295849181,True,True
563590,2011-08-17 20:02:00,2011-08,United Kingdom,United Kingdom,Weekday,13031.5,4878,18,17450,7.020082539084185,True,True
540689,2011-01-11 08:43:00,2011-01,United Kingdom,United Kingdom,Weekday,12797.52,4510,4,17450,6.8886602482589065,True,True
538877,2010-12-14 15:29:00,2010-12,United Kingdom,United Kingdom,Weekday,12681.58,2150,148,,6.823538868661151,True,True
538351,2010-12-10 15:17:00,2010-12,United Kingdom,United Kingdom,Weekday,12633.67,2229,140,,6.79662869705059,True,True
562789,2011-08-09 13:50:00,2011-08,Netherlands,International,Weekday,12341.21,7807,96,14646,6.632359258744919,True,True
544479,2011-02-21 10:28:00,2011-02,Netherlands,International,Weekday,11956.1,8174,76,14646,6.416050008297347,True,True
553546,2011-05-17 15:42:00,2011-05,Australia,International,Weekday,11924.800000000001,8268,73,12415,6.398469370196522,True,True
537640,2010-12-07 15:31:00,2010-12,United Kingdom,United Kingdom,Weekday,11540.34,2200,148,,6.182525212872449,True,True
547708,2011-03-24 18:34:00,2011-03,United Kingdom,United Kingdom,Weekday,11343.199999999999,4168,13,17450,6.07179527692367,True,True
560445,2011-07-19 09:08:00,2011-07,EIRE,International,Weekday,11134.34,5726,60,14156,5.954482431117329,True,True
A563185,2011-08-12 14:50:00,2011-08,United Kingdom,United Kingdom,Weekday,11062.06,1,1,,5.913884075784176,True,True
555920,2011-06-07 16:35:00,2011-06,United Kingdom,United Kingdom,Weekday,10999.52,2274,12,18102,5.878756500486233,True,True
569815,2011-10-06 11:53:00,2011-10,United Kingdom,United Kingdom,Weekday,10992.96,6016,21,15838,5.875071868347528,True,True
581175,2011-12-07 15:16:00,2011-12,Netherlands,International,Weekday,10901.539999999999,7366,77,14646,5.823722924731634,True,True
536982,2010-12-03 14:27:00,2010-12,United Kingdom,United Kingdom,Weekday,10661.69,1834,145,,5.689003562160291,True,True
578305,2011-11-23 15:44:00,2011-11,United Kingdom,United Kingdom,Weekday,10584.77,2111,132,14088,5.64579900360708,True,True
541206,2011-01-14 12:24:00,2011-01,Netherlands,International,Weekday,10389.06,8210,79,14646,5.535872272529999,True,True
