invoice_month,total_revenue,orders,units_sold,unique_customers,average_order_value
2010-12,821452.73,1559,358019,885,526.9100256574727
2011-01,689811.61,1086,387099,741,635.1856445672191
2011-02,522545.56,1100,282934,758,475.0414181818182
2011-03,716215.26,1454,376599,974,492.58270976616234
2011-04,536968.491,1246,307953,856,430.9538451043339
2011-05,769296.61,1681,395001,1056,457.642242712671
2011-06,760547.01,1533,388511,991,496.116771037182
2011-07,718076.121,1475,399693,949,486.8312684745763
2011-08,757841.38,1361,421020,935,556.8268772961059
2011-09,1056435.192,1837,569573,1266,575.0872030484486
2011-10,1151263.73,2040,621029,1364,564.3449656862745
2011-11,1503866.78,2769,751377,1664,543.1082629107981
2011-12,637790.33,819,313612,615,778.7427716727716
