description,total_revenue,units_sold,orders,average_unit_price
DOTCOM POSTAGE,206248.77,706,706,292.13706798866855
REGENCY CAKESTAND 3 TIER,174156.54,13851,1988,13.983936223218734
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,2.08
WHITE HANGING HEART T-LIGHT HOLDER,106236.72,37872,2256,3.2183340545218524
PARTY BUNTING,99445.23,18283,1685,5.797928193054738
JUMBO BAG RED RETROSPOT,94159.81,48371,2089,2.4861972498814606
MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,1.46848
POSTAGE,78101.88,3150,1126,31.076580817051514
Manual,77752.82,6985,290,233.7579810725552
RABBIT NIGHT LIGHT,66870.03,30739,994,2.386401179941003
PAPER CHAIN KIT 50'S CHRISTMAS,64875.590000000004,19329,1160,3.362331081081081
ASSORTED COLOUR BIRD ORNAMENT,58927.62,36362,1455,1.7225745257452574
CHILLI LIGHTS,54096.36,10302,661,6.7953973013493245
SPOTTY BUNTING,42513.48,8320,1140,5.52396013864818
JUMBO BAG PINK POLKADOT,42401.01,21448,1218,2.598733766233766
BLACK RECORD COVER FRAME,40633.38,11651,375,4.215585106382979
PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,649.5
DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,8.776284153005465
SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,5.83371408045977
JAM MAKING SET WITH JARS,37082.13,8695,1132,5.077669902912621
WOOD BLACK BOARD ANT WHITE FINISH,35966.92,6012,685,8.440540145985402
LUNCH BAG RED RETROSPOT,35572.36,19232,1564,2.131853257432005
POPCORN HOLDER,34288.67,36749,803,1.0208363636363635
VICTORIAN GLASS HANGING T-LIGHT,33146.82,24275,1037,1.6440249759846302
HOT WATER BOTTLE TEA AND SYMPATHY,32973.44,5740,643,5.024473684210526
PAPER CHAIN KIT VINTAGE CHRISTMAS,32843.840000000004,10594,820,3.3676774969915764
CHOCOLATE HOT WATER BOTTLE,32826.58,6017,858,6.075206422018349
JUMBO BAG STRAWBERRY,32727.65,17283,822,2.4144552058111377
HEART OF WICKER SMALL,32094.6,17963,1201,1.959712879409352
SET OF 3 REGENCY CAKE TINS,31118.550000000003,6345,873,5.883424657534246
JUMBO STORAGE BAG SUKI,30764.01,13651,1184,2.746616415410385
ALARM CLOCK BAKELIKE RED,30644.87,7800,1051,4.396880301602262
JUMBO BAG APPLES,30450.690000000002,14908,978,2.5699290060851925
HEART OF WICKER LARGE,30098.11,9887,925,3.2850427350427354
CHARLOTTE BAG SUKI DESIGN,29254.149999999998,18124,882,1.2166067415730337
ROSES REGENCY TEACUP AND SAUCER,29056.920000000002,9864,1065,3.661425908667288
HOT WATER BOTTLE KEEP CALM,28718.800000000003,5816,782,5.271557788944723
JUMBO SHOPPER VINTAGE RED PAISLEY,28577.1,12574,1175,2.689254237288136
DOORMAT RED RETROSPOT,28049.54,4088,696,8.953529411764706
JUMBO BAG BAROQUE BLACK WHITE,28047.74,13900,933,2.605185577942736
NATURAL SLATE HEART CHALKBOARD,27991.61,9119,1249,3.59003187250996
JUMBO BAG ALPHABET,27850.83,13366,906,2.3900109769484086
ALARM CLOCK BAKELIKE GREEN,27155.28,6419,980,4.54201213346815
ROTATING SILVER ANGELS T-LIGHT HLDR,26425.579999999998,9461,449,3.415258620689655
RED HARMONICA IN BOX,26294.08,21903,661,1.4255722891566265
RECIPE BOX PANTRY YELLOW DESIGN,26219.95,8269,1111,3.7048793565683646
GIN + TONIC DIET METAL SIGN,25792.47,11709,759,2.7445669291338586
SPACEBOY LUNCH BOX,25719.02,14249,900,2.193337016574586
